[
Record [type=1, time=Sun Jul 09 04:47:28 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=login, data=success], 
Record [type=1, time=Tue Jul 11 23:48:16 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=start], 
Record [type=1, time=Tue Jul 11 23:48:25 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=order inputPwd], 
Record [type=1, time=Tue Jul 11 23:48:26 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=goodLogin], 
Record [type=1, time=Tue Jul 11 23:48:26 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=login, data=success], 
Record [type=1, time=Wed Jul 12 22:49:25 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=start], 
Record [type=1, time=Wed Jul 12 22:49:35 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 12 22:49:35 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=enter, data=goodLogin], 
Record [type=1, time=Wed Jul 12 22:49:35 EDT 2017, userid=ipt101, site=voteforyou, scheme=testpasstiles, mode=ImagePasstiles_Poll, event=login, data=success], 
Record [type=1, time=Wed Jul 05 14:33:53 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=start], 
Record [type=1, time=Wed Jul 05 14:33:54 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=picChange], 
Record [type=1, time=Wed Jul 05 14:33:55 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=picAccept], 
